compared_brand,other_brand,similar_words,levenshtein_ratio,difflib_ratio
3M,3M BRICOLAGE ET BATIMENT,1,,
A2C,A2C GRANULAT,1,,
A2C,ADC,,0.6666666666666667,0.6666666666666666
ABRITEC,ABRITEC,1,1.0,1.0
ABRITEC,ARIC,,0.7272727272727273,0.7272727272727273
ACBAT,CEBA,,0.6666666666666667,0.6666666666666666
ACCES DIRECT,DIRECT CONCEPT MATERIAUX,1,,
ACCOPLAS,ACO SAS,,0.6666666666666667,0.6666666666666666
ACHARD,ACHARD ET CIE LYON,1,,
ACO,ACO SAS,1,,
ACO,ADC,,0.6666666666666667,0.6666666666666666
ACO,AG CO,,0.75,0.75
ACO,APCO,,0.8571428571428572,0.8571428571428571
ACOMAT INTERNATIONAL,ASPIRE INTERNATIONAL,1,0.75,0.75
ACOMAT INTERNATIONAL,BIOSERVICES INTERNATIONAL,1,0.6666666666666667,0.6666666666666666
ACOMAT INTERNATIONAL,GARDEN TRADE INTERNATIONA,,0.6666666666666667,0.6666666666666666
ACOMAT INTERNATIONAL,INTERNATIONAL BRONMETAL,1,,
ACOVA,ACO SAS,,0.6666666666666667,0.6666666666666666
ACOVA,APCO,,0.6666666666666667,0.6666666666666666
ACP AIR CONDITIONING PRODUCTS,AIR LIQUIDE FRANCE INDUS.,1,,
ACP AIR CONDITIONING PRODUCTS,ATMOS PRODUCTS,1,,
ACQUABELLA CONSTRUPLAS,CONSTRUPLAS SL/ACQUABELLA,1,,
ACTIS,ACTIS SA,1,0.7692307692307692,0.7692307692307693
ACTIVE TRADING,ELYSSA TRADING,1,,
ACTON,APCO,,0.6666666666666667,0.6666666666666666
ACV,ADC,,0.6666666666666667,0.6666666666666666
ADAPEI ARIA DE VENDEE,BETON DE LA HAUTE-SEINE,1,,
ADAPEI ARIA DE VENDEE,BOIS ET SCIAGES DE SOUGY,1,,
ADAPEI ARIA DE VENDEE,CARRIERE DE TIGNIEU,1,,
ADAPEI ARIA DE VENDEE,CARRIERES DE THIVIERS SS,1,,
ADAPEI ARIA DE VENDEE,CHAUX DE SAINT-ASTIER,1,,
ADAPEI ARIA DE VENDEE,COMPTOIR DE PICARDIE SAS,1,,
ADAPEI ARIA DE VENDEE,DECORS DE FERRYVILLE SARL,1,,
ADAPEI ARIA DE VENDEE,DRAGAGES PONT DE LESCAR,1,,
ADAPEI ARIA DE VENDEE,FORGES DE MAGNE,1,,
ADAPEI ARIA DE VENDEE,GRACE PRODUITS DE CONSTRU,1,,
ADAPEI ARIA DE VENDEE,GRANULATS DE HAUTE MARNE,1,,
ADEO,ADLES,,0.6666666666666667,0.6666666666666666
ADEO,ALVEO,,0.6666666666666667,0.6666666666666666
ADEO,ARDEA,,0.6666666666666667,0.6666666666666666
ADEQUA,ADEQUA WS S.L,1,,
ADEQUA,ARDEA,,0.7272727272727273,0.7272727272727273
ADEUNIS,ADLES,,0.6666666666666667,0.6666666666666666
ADG BETON,ADG BETON INDUSTRIEL SA,2,,
ADG BETON,BETON CONTROLE GARD ARDEC,1,,
ADG BETON,BETON DE LA HAUTE-SEINE,1,,
ADG BETON,BETON VICAT,1,,
ADG BETON,CBS BETON,1,0.6666666666666667,0.6666666666666666
ADG BETON,DIJON BETON,1,0.7,0.7
ADG BETON,EQIOM GROUPE CRH - BETON,1,,
ADG BETON,FINGER BETON KUHARDT,1,,
ADG BETON,GISONE BETON VIBRE,1,,
ADKALIS,ADLES,,0.6666666666666667,0.6666666666666666
ADLES DOO,ADLES,1,0.7142857142857143,0.7142857142857143
AERODEK,ARDEA,,0.6666666666666667,0.6666666666666666
AERODEK,EURODEF,,0.7142857142857143,0.7142857142857143
AFBAT,AFBAT  TB INDUSTRIE SAS,1,,
AFBAT,FBA,,0.75,0.75
AFITEX,AFITEXINOV,,0.75,0.75
AHI ROOFING,AHI ROOFING TUILES GERARD,2,,
AIR STORM,AIR LIQUIDE FRANCE INDUS.,1,,
